mode,scenario,comparator,independent_units,rounds_per_unit,difference_per_100,standard_error_per_100,contribution_to_aggregate_per_100,nominal_low,nominal_high,adjusted_low,adjusted_high
fresh,s17-6d-7p,baseline,100000,1,0.0675,0.0659980908434475,0.006750000000000001,-0.06185625805315709,0.1968562580531571,-0.1454902548483645,0.28049025484836454
fresh,h17-no-das-6to5,baseline,100000,1,0.0245,0.06756692719368333,0.00245,-0.10793117729961935,0.15693117729961933,-0.19355323242516637,0.24255323242516635
fresh,s17-2d-3p,baseline,100000,1,0.036000000000000004,0.06911971365209893,0.0036000000000000003,-0.09947463875811391,0.17147463875811392,-0.18706441349535127,0.25906441349535125
fresh,random-tablemates-7p,baseline,100000,1,0.0925,0.06505156996235792,0.00925,-0.035001077126221525,0.22000107712622152,-0.1174356252203533,0.3024356252203533
continuous,s17-6d-1p,basic,3000,100,0.16416666666666668,0.14866636882792592,0.01641666666666667,-0.12721941623606808,0.45555274956940145,-0.31561217813585146,0.6439455114691848
continuous,s17-6d-2p,basic,3000,100,0.08800000000000001,0.14052085900338587,0.0088,-0.18742088364663628,0.36342088364663633,-0.3654915054078985,0.5414915054078985
continuous,s17-6d-3p,basic,3000,100,0.46666666666666673,0.13556560558839,0.046666666666666676,0.20095807971342233,0.7323752536199111,0.029166846384959755,0.9041664869483736
continuous,s17-6d-4p,basic,3000,100,0.3821666666666667,0.131325226002564,0.03821666666666667,0.12476922370164129,0.6395641096316922,-0.041648522482584494,0.805981855815918
continuous,s17-6d-5p,basic,3000,100,0.17366666666666666,0.12561951390054568,0.017366666666666666,-0.07254758057840288,0.4198809139117362,-0.23173494325371005,0.5790682765870434
continuous,s17-6d-6p,basic,3000,100,0.20250000000000004,0.12155614109278069,0.020250000000000004,-0.035750036541850105,0.4407500365418502,-0.18978821832359985,0.5947882183236
continuous,s17-6d-7p,basic,3000,100,0.1578333333333333,0.111624318279347,0.01578333333333333,-0.06095033049418683,0.3766169971608534,-0.20240272340335205,0.5180693900700186
continuous,h17-no-das-6to5,basic,3000,100,0.10193333333333332,0.12963806319859933,0.010193333333333332,-0.15215727053592137,0.356023937202588,-0.3164370129273635,0.5203036795940301
continuous,s17-2d-3p,basic,3000,100,0.23749999999999996,0.1147647565423543,0.023749999999999997,0.012561077176985541,0.46243892282301435,-0.13287093696466232,0.6078709369646622
continuous,random-tablemates-7p,basic,3000,100,0.014499999999999973,0.2302938280139005,0.0014499999999999973,-0.436875902907245,0.4658759029072449,-0.7287084851520514,0.7577084851520514
continuous,s17-6d-1p,baseline,3000,100,0.1723333333333334,0.121573134709531,0.01723333333333334,-0.06595001069734738,0.4106166773640142,-0.22000972710336686,0.5646763937700336
continuous,s17-6d-2p,baseline,3000,100,0.003999999999999989,0.12314171765710642,0.0003999999999999989,-0.23735776660792862,0.24535776660792857,-0.39340522022776725,0.40140522022776726
continuous,s17-6d-3p,baseline,3000,100,0.064,0.11503014474601424,0.0064,-0.1614590837021879,0.28945908370218787,-0.3072274026655469,0.4352274026655469
continuous,s17-6d-4p,baseline,3000,100,0.21483333333333332,0.11230817190663756,0.021483333333333333,-0.005290683603676294,0.43495735027034294,-0.1476096684300059,0.5772763350966725
continuous,s17-6d-5p,baseline,3000,100,0.08866666666666669,0.1035616240037064,0.008866666666666669,-0.11431411638059787,0.29164744971393125,-0.24554931454076362,0.42288264787409696
continuous,s17-6d-6p,baseline,3000,100,-0.018166666666666668,0.10097295926917893,-0.0018166666666666667,-0.21607366683425736,0.17974033350092403,-0.34402846134418885,0.3076951280108555
continuous,s17-6d-7p,baseline,3000,100,-0.09833333333333334,0.09368791214648876,-0.009833333333333335,-0.2819616411404513,0.08529497447378463,-0.40068468970249993,0.20401802303583327
continuous,h17-no-das-6to5,baseline,3000,100,-0.0012000000000000233,0.11481398600158273,-0.00012000000000000233,-0.22623541256310217,0.2238354125631021,-0.37172981118258447,0.3693298111825844
continuous,s17-2d-3p,baseline,3000,100,0.014833333333333336,0.08088999353705963,0.0014833333333333335,-0.14371105399930353,0.1733777206659702,-0.24621634428550668,0.2758830109521733
continuous,random-tablemates-7p,baseline,3000,100,-0.19583333333333333,0.20658418488274075,-0.019583333333333335,-0.6007383357035052,0.20907166903683852,-0.862525621299495,0.47085895463282834
